,account,airdrop_sources,counts
0,0x2bfd4587aac2bed484d3e651ec497e8f40653dce,"['HOP', 'Uniswap', 'ENS', '1inch', 'Gitcoin']",5
1,0x0ecddcf41754360ab129d7ca4c8abf220f9c32bd,"['Uniswap', 'HOP', '1inch', 'ENS', 'Gitcoin']",5
2,0x38153bad797c27dd07cb04b89326bbfde3f7f0c5,"['Gitcoin', '1inch', 'ENS', 'Uniswap', 'HOP']",5
3,0xd3474bd2f558b12e83810ec7d8af14f2d1d08137,"['Uniswap', 'HOP', '1inch', 'ENS', 'Gitcoin']",5
4,0xe3b1209dd2ad3c9c7dde8dcef8440b924ce2cc26,"['Gitcoin', 'Uniswap', 'HOP', '1inch', 'ENS']",5
5,0x327b9dee1830f8201efa751fd96f7b1ad0b300a1,"['HOP', 'Gitcoin', '1inch', 'ENS', 'Uniswap']",5
6,0x315c2235d75880afe04310d71ec381dbfb29d307,"['Gitcoin', '1inch', 'HOP', 'Uniswap', 'ENS']",5
7,0xf286e07ed6889658a3285c05c4f736963cf41456,"['Gitcoin', 'ENS', 'HOP', '1inch', 'Uniswap']",5
8,0x750c31d2290c456fcca1c659b6add80e7a88f881,"['Gitcoin', 'HOP', '1inch', 'Uniswap', 'ENS']",5
9,0xc1e42f862d202b4a0ed552c1145735ee088f6ccf,"['Gitcoin', 'ENS', 'HOP', '1inch', 'Uniswap']",5
10,0xbbedafd5f399be88dac7222ce1caa9dd7cfd7481,"['Uniswap', 'ENS', '1inch', 'HOP', 'Gitcoin']",5
11,0xad549c7fcf1bd3e57bca464d9dce0a0d561599d1,"['ENS', '1inch', 'HOP', 'Uniswap', 'Gitcoin']",5
12,0xb6c9e6a2415ab8d26335498beac8eebed4bb2259,"['HOP', '1inch', 'ENS', 'Uniswap', 'Gitcoin']",5
13,0xaec80b4fbe227198720b1d1b82a12968baa0b144,"['Gitcoin', 'Uniswap', 'HOP', '1inch', 'ENS']",5
14,0x9b8afb5f6cbd0cb9f61a2d3765acbd5a8f1b911a,"['HOP', 'ENS', 'Uniswap', '1inch', 'Gitcoin']",5
15,0x76d2ddce6b781e66c4b184c82fbf4f94346cfb0d,"['Gitcoin', 'HOP', '1inch', 'Uniswap', 'ENS']",5
16,0x176b8c8dd7657a011fcac694364e69cf011980e9,"['Gitcoin', 'ENS', 'HOP', 'Uniswap', '1inch']",5
17,0x7d0c62a79805600f2c751c4d4be01c9c5a7d0339,"['HOP', 'Gitcoin', '1inch', 'Uniswap', 'ENS']",5
18,0x6b00bcea93bb4f1624818879d8b096577099cdd3,"['Gitcoin', '1inch', 'HOP', 'Uniswap', 'ENS']",5
19,0x11f13a72fab90afb64d90b8dde78f46f4df272e3,"['Uniswap', 'Gitcoin', 'HOP', 'ENS', '1inch']",5
20,0x35e3564c86bc0b5548a3be3a9a1e71eb1455fad2,"['Gitcoin', '1inch', 'ENS', 'HOP', 'Uniswap']",5
21,0xf733454bb020b76cfc9c4ad80367bab412edbffb,"['Uniswap', 'ENS', 'HOP', 'Gitcoin', '1inch']",5
22,0x083fc10ce7e97cafbae0fe332a9c4384c5f54e45,"['Uniswap', 'Gitcoin', '1inch', 'ENS', 'HOP']",5
23,0xa64fc17b157aaa50ac9a8341bab72d4647d0f1a7,"['Uniswap', 'Gitcoin', 'HOP', 'ENS', '1inch']",5
24,0xb8c3cc00fdd5c24dfeb9c5609203a0d434283c9c,"['1inch', 'Uniswap', 'HOP', 'ENS', 'Gitcoin']",5
25,0x66b9bd3a9f0d44121533f88c94d4e35213222917,"['1inch', 'ENS', 'Gitcoin', 'HOP', 'Uniswap']",5
26,0x4e3d9399c28c724293dd545225ec843ac4c9e953,"['Gitcoin', 'Uniswap', '1inch', 'HOP', 'ENS']",5
27,0x06b1bf28c962363f212878bdf87417ebd0316220,"['HOP', 'Gitcoin', 'Uniswap', 'ENS', '1inch']",5
28,0x9acf8d0315094d33aa6875b673eb126483c3a2c0,"['Gitcoin', '1inch', 'Uniswap', 'ENS', 'HOP']",5
29,0xb0e83c2d71a991017e0116d58c5765abc57384af,"['Gitcoin', 'Uniswap', 'HOP', '1inch', 'ENS']",5
30,0x5d47e5d242a8f66a6286b0a2353868875f5d6068,"['ENS', 'HOP', 'Uniswap', 'Gitcoin', '1inch']",5
31,0xa28507fc55847bcaab41847fa4bc952068dd41bf,"['HOP', 'Uniswap', 'Gitcoin', '1inch', 'ENS']",5
32,0xb4522eb2ca49963de9c3dc69023cbe6d53489c98,"['Uniswap', 'ENS', '1inch', 'Gitcoin', 'HOP']",5
33,0x66300889afb808626498c28e3811bb9b06a014ad,"['HOP', 'Uniswap', '1inch', 'Gitcoin', 'ENS']",5
34,0x9d3f4eeb533b8e3c8f50dbbd2e351d1bf2987908,"['HOP', 'Uniswap', 'ENS', 'Gitcoin', '1inch']",5
35,0x40534e513df8277870b81e97b5107b3f39de4f15,"['ENS', 'HOP', 'Gitcoin', 'Uniswap', '1inch']",5
36,0x40e14b90e66b1d694f425579118d0dc8ef1dbc91,"['ENS', 'Gitcoin', 'Uniswap', 'HOP', '1inch']",5
37,0x48b72465fed54964a9a0bb2fb95dbc89571604ec,"['Gitcoin', 'Uniswap', 'ENS', '1inch', 'HOP']",5
38,0xa1e2421a68f0208b75acb0014a69e89b1f7492ea,"['Gitcoin', 'ENS', '1inch', 'HOP', 'Uniswap']",5
39,0x21eb14be414edc32a819525c231c3ee97dc811f8,"['Gitcoin', 'ENS', 'HOP', '1inch', 'Uniswap']",5
40,0x87715066daf3c2e0a05085a2f1b6087b90aeaf82,"['HOP', 'Uniswap', 'Gitcoin', '1inch', 'ENS']",5
41,0x1092361f4eafdc6e4555ee761e87ef9c67b9e42f,"['HOP', 'Gitcoin', '1inch', 'Uniswap', 'ENS']",5
42,0xbd12aa424c207e90b66402c1f0aec357e8b1ded7,"['Gitcoin', '1inch', 'Uniswap', 'ENS', 'HOP']",5
43,0x2880a6bb2cd1df6e03dc8bbfbed009de586c2603,"['ENS', 'Uniswap', 'HOP', 'Gitcoin', '1inch']",5
44,0xef26a2bc1c4488a5c9c21c37e522c028837faaf0,"['ENS', '1inch', 'HOP', 'Uniswap', 'Gitcoin']",5
